StartTime,StartEpoch,BW,EndTime,EndEpoch,CPULoad1m,CPULoad5m,CPULoad5m,NetDevRX,NetDevTX,IRQens2-0,IRQens2-1,IRQens2-2,IRQens2-3,IRQens2-4,IRQens2-5,IRQens2-6,IRQens2-7,user,nice,system,idle,iowait,irq,softirq,steal,guest,guest_nice,MemTotal,MemFree,MemAvailable,Buffers,Cached
2018-05-15_12-07-09.677704216,1526378829.679571361,18726755300,2018-05-15_12-07-39.740815630,1526378859.742780222,0.38,0.14,0.08,130857350,70179555144,1,0,0,0,0,0,0,9,742,0,4270,916290,2164,0,8,0,0,0,32804244,31606432,31488456,2116,156284
2018-05-15_12-07-39.787228157,1526378859.789103893,20114962967,2018-05-15_12-08-09.829857510,1526378889.831793656,0.49,0.19,0.10,252415372,146448304480,1,0,0,1731892,0,0,0,9,761,0,5964,936286,2164,0,14,0,0,0,32804244,31618176,31500120,2116,156280
2018-05-15_12-08-09.876969406,1526378889.878857555,20338713951,2018-05-15_12-08-39.919758993,1526378919.921685674,0.50,0.22,0.11,369749650,222957996126,1,0,0,1731892,0,0,1745813,9,779,0,7883,956308,2164,0,27,0,0,0,32804244,31618024,31500324,2116,156280
2018-05-15_12-08-39.966493996,1526378919.968357175,20082376792,2018-05-15_12-09-10.009705446,1526378950.011616034,0.44,0.23,0.12,489759064,299066594762,1,0,1722275,1731892,0,0,1745813,9,795,0,9598,976310,2164,0,33,0,0,0,32804244,31618112,31500672,2116,156280
2018-05-15_12-09-10.056340407,1526378950.058211049,18716965526,2018-05-15_12-09-40.098817029,1526378980.100745047,0.35,0.22,0.12,599117598,369543482574,1,0,1722275,1731892,0,0,1745813,1490787,812,0,11326,996897,2167,0,39,0,0,0,32804244,31616264,31499076,2116,156316
2018-05-15_12-09-40.145413213,1526378980.147283311,20252240347,2018-05-15_12-10-10.187888222,1526379010.189844249,0.40,0.25,0.13,717818404,445718024592,1,0,1722275,1731892,1770447,0,1745813,1490787,829,0,13217,1016931,2167,0,44,0,0,0,32804244,31615824,31497572,2116,156324
2018-05-15_12-10-10.234560191,1526379010.236420047,19876745894,2018-05-15_12-10-40.276696585,1526379040.278612169,0.43,0.27,0.15,836960874,521095675928,1,1606053,1722275,1731892,1770447,0,1745813,1490787,845,0,14801,1036854,2167,0,59,0,0,0,32804244,31615588,31497336,2116,156324
2018-05-15_12-10-40.323194553,1526379040.325044432,20230005702,2018-05-15_12-11-10.366838808,1526379070.368798640,0.65,0.34,0.17,954258480,597228796820,1,1606053,1722275,1731892,1770447,0,3475297,1490787,862,0,16702,1056867,2167,0,63,0,0,0,32804244,31613756,31496864,2116,156324
2018-05-15_12-11-10.413645291,1526379070.415506793,19673098176,2018-05-15_12-11-40.455817831,1526379100.457738621,0.66,0.37,0.19,1099095286,671241270922,1,1606053,1722275,3430507,1770447,0,3475297,1490787,879,0,18440,1076896,2167,0,82,0,0,0,32804244,31614404,31496164,2116,156324
2018-05-15_12-11-40.502633016,1526379100.504514726,18730385154,2018-05-15_12-12-10.545750369,1526379130.547664498,0.60,0.39,0.20,1235225788,742308975612,1,1606053,1722275,3430507,1770447,0,3475297,1490796,893,0,20191,1097411,2167,0,86,0,0,0,32804244,31614476,31496308,2116,156324
2018-05-15_12-12-10.592963851,1526379130.594850127,20309077666,2018-05-15_12-12-40.635814354,1526379160.637808107,0.55,0.40,0.21,1352555010,818710963418,1,1606053,1722275,3430507,1770447,1679886,3475297,1490796,912,0,21996,1117406,2167,0,89,0,0,0,32804244,31613876,31496476,2116,156324
2018-05-15_12-12-40.682465276,1526379160.684319056,20060098096,2018-05-15_12-13-10.724779274,1526379190.726738035,0.53,0.41,0.22,1471713736,894173815124,1,3334181,1722275,3430507,1770447,1679886,3475297,1490796,931,0,23770,1137374,2167,0,112,0,0,0,32804244,31602240,31483752,2116,156332
2018-05-15_12-13-10.771654212,1526379190.773534817,20336306170,2018-05-15_12-13-40.813730717,1526379220.815636261,0.65,0.45,0.24,1590276430,971311215082,1,3334181,1722275,3430507,3517122,1679886,3475297,1490796,949,0,25641,1157434,2167,0,115,0,0,0,32804244,31601436,31483740,2116,156332
2018-05-15_12-13-40.860471287,1526379220.862335554,18767917510,2018-05-15_12-14-10.903811344,1526379250.905719447,0.71,0.48,0.26,1701608980,1041919008644,1,3334181,1722275,3430507,3517122,1679886,3475297,3024579,968,0,27399,1177986,2167,0,122,0,0,0,32804244,31601052,31483100,2116,156336
